#,title
56,"Муниципальное Унитарное Предприятие Городского Округа Чехов ""Архитектура И Градостроительство"""
57,"Открытое Акционерное Общество ""Строительное Управление 801"""
58,"Общество с ограниченной ответственностью ""Урса Серпухов"""
59,"Общество с ограниченной ответственностью ""Шафт"""
60,"Общество с ограниченной ответственностью ""Макс-Трэвэл"""
61,"Общество с ограниченной ответственностью ""Провиант"""
62,"Акционерное Общество Закрытого Типа ""Пеколс"""
63,"Негосударственное Образовательное Учреждение Высшего Профессионального Образования ""Институт Инвалидности И Реабилитации"""
64,"Общество с ограниченной ответственностью ""М800"""
65,"Общество с ограниченной ответственностью Аудиторская Фирма ""Аурум"""
66,"Общество с ограниченной ответственностью ""Чистый Мир"""
67,Товарищество Собственников Жилья-29
68,"Общество с ограниченной ответственностью ""Юникс"""
69,"Садоводческое Некоммерческое Товарищество ""Росинка"""
70,Мытищинский Кооператив № 19 Коллективных Гаражей Автомототранспорта
71,"Общество с ограниченной ответственностью ""Лаванда"""
72,"Общество с ограниченной ответственностью ""Легенда"""
73,"Общество с ограниченной ответственностью ""Пиррекс"""
74,"Общество с ограниченной ответственностью ""Перспектива"""
75,"Общество с ограниченной ответственностью ""Ттк-Лтд"""
76,"Общество с ограниченной ответственностью ""Зея"""
77,"Общество с ограниченной ответственностью ""Стройинвестсервис"""
78,"Закрытое Акционерное Общество ""Барсет"""
79,"Производственный Кооператив ""Комплекс"""
80,"Общество с ограниченной ответственностью ""Радужное+"""
81,"Акционерное Общество Закрытого Типа ""Центр-Бизнес"""
82,"Некоммерческое Партнерство ""Молодежное Объединение Музыкальных Коллективов-""Истринский Рок-Клуб"""
83,"Закрытое Акционерное Общество ""Мособлспецстрой. Пмк-497"" Дочернее Общество ЗАО ""Мособлспецстрой"""
84,"Общество с ограниченной ответственностью ""Плутон +"""
85,"Общество с ограниченной ответственностью ""Гарантстрой"""
86,"Товарищество Собственников Недвижимости ""Микояна 23к2"""
87,"Общество с ограниченной ответственностью ""Жилремсервис"""
88,"Московское Областное Общественное Движение ""Общественный Совет ПОддержки Государственной ПОлитики"""
89,"Общество с ограниченной ответственностью ""Бизнес Групп"""
90,"Общество с ограниченной ответственностью ""Сервис Групп"""
91,"Общество с ограниченной ответственностью ""Финтех ""Доверие"""
92,"Общество с ограниченной ответственностью ""Классика"""
93,"Общество с ограниченной ответственностью ""Бергман Центррос"""
94,ИЧП 'Совтракт'
95,"Общество с ограниченной ответственностью ""Мастер"""
96,"Гаражно-Строительный Кооператив ""Колосок"""
97,"Общество с ограниченной ответственностью ""Элкомстар"""
98,"Общество с ограниченной ответственностью ""Уни Пак"""
99,"Общество с ограниченной ответственностью Строительная Компания ""Регион"""
100,"Общество с ограниченной ответственностью ""Чегет"""
101,"Общество с ограниченной ответственностью ""Мск Трейд Инжиниринг"""
102,"Общество с ограниченной ответственностью ""Спецмашпроект"""
103,"Общество с ограниченной ответственностью ""Джокер"""
104,"Общество с ограниченной ответственностью ""Шамси"""
105,"Московский Областной Общественный Экологический Фонд ""Тимохово"""
106,"Общество с ограниченной ответственностью ""Акс Инжиниринг"""
107,"Общество с ограниченной ответственностью ""Новая Колхида"""
108,"Общество с ограниченной ответственностью ""Газэлектро"""
109,"Общество с ограниченной ответственностью ""Новое ПОколение"""
110,"Общество с ограниченной ответственностью ""Диверсус"""
111,"Общество с ограниченной ответственностью ""М-Траст"""
112,"Общество с ограниченной ответственностью ""Русьстрой"""
113,"Общество с ограниченной ответственностью ""Спектр-М"""
114,"Филиал ООО ""Стар Лайт"""
115,"Общество с ограниченной ответственностью ""Терем"""
116,"Общество с ограниченной ответственностью ""Розэт"""
117,"Общество с ограниченной ответственностью ""Тэмпл"""
118,"Общество с ограниченной ответственностью ""Атм Город"""
119,"Общество с ограниченной ответственностью ""Транссервис"""
120,"Общество с ограниченной ответственностью ""Ворлд Эйр Транспорт"""
121,"Общество с ограниченной ответственностью ""Эйчтиэн Проджекс Лаб"""
122,"Общество с ограниченной ответственностью ""Стрепет"""
123,"Ассоциация Садоводческих Некоммерческих Товариществ ""Сапроново"""
124,"Общество с ограниченной ответственностью ""Сервис Запчасть Логистика"""
125,"Общество с ограниченной ответственностью ""Компания ""Фонон"""
126,"Общество с ограниченной ответственностью ""Планета"""
127,"Общество с ограниченной ответственностью ""Автовояж"""
128,"Общество с ограниченной ответственностью ""А-Партнер"""
129,"Общество с ограниченной ответственностью ""Инвест-Капитал"""
130,"Акционерное Общество Закрытого Типа ""Чиж"""
131,"Общество с ограниченной ответственностью ""Темп"""
132,"Общество с ограниченной ответственностью Медицинский Центр ""Прайд-П"""
133,"Общество с ограниченной ответственностью ""Жимчужина"""
134,"Общество с ограниченной ответственностью ""Росич-Недвижимость"""
135,"Общество с ограниченной ответственностью ""Гармония Лайт"""
136,"Общество с ограниченной ответственностью ""Маэстро Вок"""
137,"Общество с ограниченной ответственностью ""Ховхолдинг"""
138,"Общество с ограниченной ответственностью ""Риэлт.Строительство.Управление"""
139,"Общество с ограниченной ответственностью ""Партнер-Т"""
140,"Закрытое Акционерное Общество ""Формат"""
141,"Общество с ограниченной ответственностью ""Гранд Байкал"""
142,"Общество с ограниченной ответственностью ""Гостиничный Комплекс Егорьевск"""
143,"Производственно-Коммерческий Центр""Анта"" Общество с ограниченной ответственностью"
144,"Общество с ограниченной ответственностью ""Биоресурсы"""
145,"Общество с ограниченной ответственностью ""Реал-Сервис"""
146,"Товарищество с ограниченной ответственностью ""Дон"""
147,"Общество с ограниченной ответственностью ""Карвет"""
148,"Общество с ограниченной ответственностью ""Альфамед"""
149,"Общество с ограниченной ответственностью ""Мостовая Национальная Компания"""
150,"Общество с ограниченной ответственностью ""Американо"""
151,"Садоводческое Некоммерческое Товарищество ""Москвич"""
152,"Индивидуальное Частное Предприятие Мызникова ""Мосмаркет"""
153,"Муниципальное Унитарное Предприятие Ленинского Городского Округа ""Архитектура И Градостроительство"""
154,"Муниципальное Бюджетное Дошкольное Образовательное Учреждение ""Детский Сад №19 ""Ручеек"""
155,"Общество с ограниченной ответственностью ""Еврохимика+"""
156,"Крестьянское (Фермерское) Хозяйство ""Наритай"""
157,"Общество с ограниченной ответственностью ""Криос"""
158,"Общество с ограниченной ответственностью ""Гео Мастер"""
159,"Общество с ограниченной ответственностью ""Системы Телевидения 2010"""
160,"Индивидуальное(Семейное) Частное Предпр. ""Лик"""
161,"Общество с ограниченной ответственностью ""Концепт-Сити"""
162,"Общество с ограниченной ответственностью ""Лада"""
163,"Общество с ограниченной ответственностью ""Лужки"""
164,"Общество с ограниченной ответственностью ""Аг Групп"""
165,"Общество с ограниченной ответственностью ""Ньюлайн-Компани"""
166,"Общество с ограниченной ответственностью ""Аладея-Орто"""
167,"Общество с ограниченной ответственностью ""Жилкомконсалт"""
168,"Общество с ограниченной ответственностью ""Башмачок"""
169,"Закрытое Акционерное Общество ""Фармапекс Плюс"""
170,"Общество с ограниченной ответственностью ""Гуд Фуд"""
171,"Общество с ограниченной ответственностью ""Строймеханик"""
172,"Общество с ограниченной ответственностью ""Стройкомплект"""
173,"Общество с ограниченной ответственностью ""Нина"""
174,"Общество с ограниченной ответственностью ""Гмс-Строй Плюс"""
175,"Товарищество с ограниченной ответственностью ""Ромашка"""
176,"Садоводческое Некоммерческое Товарищество ""Монтажник"""
177,"Общество с ограниченной ответственностью ""Традиции Образования"""
178,"Общество с ограниченной ответственностью ""Аида"""
179,"Открытое Акционерное Общество ""Крафт"""
180,"Общество с ограниченной ответственностью ""Востоклогистик"""
181,"Фонд Развития Исследований В Области Физики И Техники Высоких Давлений ""Рифт"""
182,"Общество с ограниченной ответственностью ""Глобус"""
183,"Общество с ограниченной ответственностью ""Тдд"""
184,"Общество с ограниченной ответственностью ""Апекс"""
185,"Общество с ограниченной ответственностью ""Эко-Сервис"""
186,"Общество с ограниченной ответственностью ""Автолеон"""
187,"Общество с ограниченной ответственностью ""Фонтан Здоровья"""
188,"Общество с ограниченной ответственностью ""Люксвал"""
189,"Общество с ограниченной ответственностью ""Полиник+"""
190,"Общество с ограниченной ответственностью ""Скватс Тим"""
191,"Общество с ограниченной ответственностью ""Солтек-С"""
192,"Общество с ограниченной ответственностью ""Жилстрой"""
193,"Общество с ограниченной ответственностью ""Технопарк"""
194,"Общество с ограниченной ответственностью ""Фирма ""Чинар"""
195,"Общество с ограниченной ответственностью ""Клинская Ассоциация Управляющих Компаний"""
196,"Общество с ограниченной ответственностью Многопрофильное Коммерческое Предприятие ""Радонеж"""
197,"Общество с ограниченной ответственностью ""Миллер Шуз Инкорпорейшнл"""
198,"Общество с ограниченной ответственностью ""Хотьковский Тракт"""
199,"Общество с ограниченной ответственностью ""Связькабельсбыт"""
200,"Общество с ограниченной ответственностью ""Комтекс"""
201,"Общество с ограниченной ответственностью ""Профи-Мед"""
202,"Общество с ограниченной ответственностью ""Росток"""
203,"Общество с ограниченной ответственностью ""24 Век Маркет"""
204,"Общество с ограниченной ответственностью ""Ветеринарная Клиника ""Три Кота"""
205,"Общество с ограниченной ответственностью ""Эльза"""
206,"Общество с ограниченной ответственностью ""Воленте"""
207,"Общество с ограниченной ответственностью ""Крафт"""
208,"Общество с ограниченной ответственностью ""Св Инжиниринг"""
209,"Гаражно-Строительный Кооператив ""Арка"""
210,"Общество с ограниченной ответственностью ""Прометей"""
211,"Общество с ограниченной ответственностью ""Джевелер Пак"""
212,"Общество с ограниченной ответственностью ""Айпихом Телеком"""
213,"Общество с ограниченной ответственностью ""Кронос"""
214,"Филиал ООО ""Тд""Проплекс"" (город Краснодар)"
215,"Общество с ограниченной ответственностью ""Русалекс"""
216,"Общество с ограниченной ответственностью ""Инкорро-М"""
217,"Закрытое Акционерное Общество ""Ван Телеком"""
218,"Общество с ограниченной ответственностью ""Электростальский Бизнес-Центр"""
219,"Общество с ограниченной ответственностью ""Инженерные Решения"""
220,"Закрытое Акционерное Общество ""Инфотехника"""
221,"Общество с ограниченной ответственностью ""Электросантехмонтаж"""
222,"Общество с ограниченной ответственностью ""Солнечногорское"""
223,"Общество с ограниченной ответственностью ""Центр Услуг Предприятиям, Предпринимателям"""
224,"Общество с ограниченной ответственностью ""Транс-Сервис"""
225,"Общество с ограниченной ответственностью ""Лиднасс"""
226,"Общество с ограниченной ответственностью ""Гроссмаш"""
227,"Общество с ограниченной ответственностью ""Стройбилдинг"""
228,"Общество с ограниченной ответственностью ""Тритон"""
229,"Садоводческое Некоммерческое Товарищество ""Простоквашино"""
230,"Общество с ограниченной ответственностью ""Озеленение-1"""
231,"Общество с ограниченной ответственностью ""Паритет"""
232,"Общество с ограниченной ответственностью ""Макси Двери"""
233,"Общество с ограниченной ответственностью ""Элькорд"""
234,"Общество с ограниченной ответственностью ""Туристская Мастерская Игоря Зорина"""
235,"Общество с ограниченной ответственностью ""Новая Концепция"""
236,"Общество с ограниченной ответственностью ""Ирантаас"""
237,"Товарищество с ограниченной ответственностью ""Дорремстройсервис"""
238,"Общество с ограниченной ответственностью ""Стиф-2000"""
239,"Общество с ограниченной ответственностью Центр Риэлторских Услуг ""Обухов"""
240,"Общество с ограниченной ответственностью ""Русь"""
241,"Садоводческое Некоммерческое Товарищество ""Милухино"""
242,"Общество с ограниченной ответственностью Чоп ""Тайфун"""
243,"Автономная Некоммерческая Дошкольная Образовательная Организация ""Спарта"""
244,"Общество с ограниченной ответственностью ""Дмитровпродукт"""
245,"Товарищество с ограниченной ответственностью Научно-Производственная Фирма ""Цеппелин"""
246,"Общество с ограниченной ответственностью ""Строительная Компания Стройтрест"""
247,"Гаражно-Строительный Кооператив ""Зодчий Паркинг"""
248,"Общество с ограниченной ответственностью ""Рдв-Мастер"""
249,"Общества С Ограниченной Ответственностью ""Магистраль-М"""
250,"Общество с ограниченной ответственностью ""Литовско-Русский Туристский Информационный Центр"""
251,"Общество с ограниченной ответственностью ""Аластер"""
252,"Общество с ограниченной ответственностью ""Пойма"""
253,"Общество с ограниченной ответственностью ""Матрикс-Он-Лайн"""
254,"Общество с ограниченной ответственностью ""Спа Салон"""
255,"Общество с ограниченной ответственностью ""Локаст"""
256,"Общество с ограниченной ответственностью ""Реал-Строй"""
257,"Общество с ограниченной ответственностью ""Св Приз"""
258,"Общество с ограниченной ответственностью ""Волга-Трейд"""
259,"Дачное Некоммерческое Товарищество ""Новосёлки"""
260,"Товарищество с ограниченной ответственностью Фирма ""Триумф"""
261,"Общество с ограниченной ответственностью ""Домстроим"""
262,"Закрытое Акционерное Общество ""Гки-Сервис"""
263,"Общество с ограниченной ответственностью ""Рвд Пром-Сервис"""
264,Администрация Муниципального Образования Городское ПОселение Томилино Люберецкого Муниципального Района Московской Области
265,"Общество с ограниченной ответственностью ""Римтелеком"""
266,"Общество с ограниченной ответственностью ""Комея"""
267,"Садоводческое Некоммерческое Товарищество ""Красный Октябрь"""
268,"Общество с ограниченной ответственностью Управляющая Организация Многоквартирными Домами ""Управляющая Компания ""Спецмонтаж"""
269,"Общество с ограниченной ответственностью ""Зарайская Ремонтно-Строительная Компания"""
270,"Общество с ограниченной ответственностью ""Континент"""
271,"Общество с ограниченной ответственностью ""Юридическая Фирма ""Аргумент"""
272,"Общество с ограниченной ответственностью ""Еврострой"""
273,"Общество с ограниченной ответственностью ""Элемент"""
274,"Общество с ограниченной ответственностью ""Аквапроэкт"""
275,"Жилищно-Строительный Кооператив ""Заря-4"""
276,"Московская Областная Общественная Организация ""Дом Культуры Коренево"""
277,"Общество с ограниченной ответственностью ""Алгро"""
278,"Общество с ограниченной ответственностью ""Кедр"""
279,"Общество с ограниченной ответственностью ""Тк Каргоавто"""
280,"Общество с ограниченной ответственностью ""Юнна"""
281,"Общество с ограниченной ответственностью ""Общемаш"""
282,"Общество с ограниченной ответственностью ""Транспортник"""
283,"Королевское Городское Учреждение по Туризму ПОтребительской Кооперации ""Меридиан"""
284,"Общество с ограниченной ответственностью ""Техномакс"""
285,"Общество с ограниченной ответственностью ""Лиратранс"""
286,"Акционерное Общество Закрытого Типа ""Агро-Эя"""
287,"Автономная Некоммерческая Организация ""Международный Центр ПОмощи Незащищённым Слоям Населения ""Надежда Есть"""
288,"Общество с ограниченной ответственностью ""Пандора"""
289,"Общество с ограниченной ответственностью ""Стройфарфор"""
290,"Благотворительный Фонд Развития Спорта, ПОмощи Спортсменам И Пропаганды Здорового Образа Жизни ""Свет Земли"""
291,"Общество с ограниченной ответственностью ""Атлант"""
292,"Общество с ограниченной ответственностью ""Агроинвестстрой"""
293,"Общество с ограниченной ответственностью ""Апекс"""
294,"Общество с ограниченной ответственностью ""Цирюльня"""
295,"Общество с ограниченной ответственностью ""Савкомтранс-Плюс"""
296,"Общество с ограниченной ответственностью ""Альянс М"""
297,"Общество с ограниченной ответственностью ""Фартавто"""
298,"Общество с ограниченной ответственностью ""Живописная Дорога"""
299,"Товарищество с ограниченной ответственностью ""Максим"""
300,"Общество с ограниченной ответственностью ""Мастерская Науки"""
301,"Общество с ограниченной ответственностью ""Союн"""
302,"Муниципальное Автономное Учреждение ""Редакция Газеты ""Озёрская Панорама"""
303,"Общество с ограниченной ответственностью Компания ""Корелла"""
304,"Общество с ограниченной ответственностью ""Вм-Логистика"""
305,"Общество с ограниченной ответственностью ""Контур"""
306,"Общество с ограниченной ответственностью ""Феникс"""
307,"Общество с ограниченной ответственностью ""С-Маркет"""
308,Администрация Ленинского Городского Округа Московской Области
309,"Общество с ограниченной ответственностью ""Стриж"""
310,"Общество с ограниченной ответственностью ""Ме-Ка Строй"""
311,"Общество с ограниченной ответственностью ""Природа"""
312,"Общество с ограниченной ответственностью ""Родолия"""
313,"Общество с ограниченной ответственностью Торговая Компания ""Стройресурс"""
314,"Общество с ограниченной ответственностью ""Спецремтех"""
315,"Товарищество с ограниченной ответственностью ""Риноцерус Лтд"""
316,"Общество с ограниченной ответственностью ""Системымолниезащитыэлектрообогрева"""
317,"Общество с ограниченной ответственностью ""Коробово"""
318,"Общество с ограниченной ответственностью ""Фирма ""Виктор"""
319,"Общество с ограниченной ответственностью ""Концернбизнеспром"""
320,"Акционерное Общество ""Проект-Град"""
321,"Общество с ограниченной ответственностью ""Мтк Групп"""
322,"Общество с ограниченной ответственностью ""Золотая Нива"""
323,"Жилищно-Строительный Кооператив ""Знаменский"""
324,"Общество с ограниченной ответственностью ""Родные Просторы"""
325,Общество с ограниченной ответственностью Озерное
326,"Общество с ограниченной ответственностью ""Стройцентр"""
327,"Общество с ограниченной ответственностью ""Эа Строй"""
328,"Общество с ограниченной ответственностью ""П.И.В.А-С"""
329,"Общество с ограниченной ответственностью Группа Компаний ""Авторадуга"""
330,"Общество с ограниченной ответственностью ""Энирон"""
331,"Общество с ограниченной ответственностью ""Ставр+"""
332,"Общество с ограниченной ответственностью ""Экспериментально-Производственный Инженерный Центр"""
333,Лела Компания ТОО
334,"Общество с ограниченной ответственностью ""Клементе Рус"""
335,Акционерное Общество Закрытого Типа Темп Лтд
336,"Общество с ограниченной ответственностью ""Карат Лайн"""
337,"Общество с ограниченной ответственностью ""Объединенные Логистические Системы"""
338,"Общество с ограниченной ответственностью ""С 7 Аэро"""
339,"Общество с ограниченной ответственностью ""Капиталстрой"""
340,"Общество с ограниченной ответственностью ""Сити Бизнес Групп"""
341,"Первичная Профсоюзная Организация Работников Гп ""Чеховский Автодор"""
342,"Общество с ограниченной ответственностью ""Иц ""Эффективные Мебельные Технологии"""
343,"Товарищество с ограниченной ответственностью ""Опал"""
344,"Закрытое Акционерное Общество ""Русский Пар"""
345,"Некоммерческое Партнерство ""Московская Областная Ассоциация Предприятий Сферы Услуг"""
346,"Общество с ограниченной ответственностью ""Ринг"""
347,"Общество с ограниченной ответственностью ""Стимул"""
348,"Общество с ограниченной ответственностью ""Донино"""
349,"Общество с ограниченной ответственностью ""777"""
350,"Общество с ограниченной ответственностью ""Ригель"""
351,"Общество с ограниченной ответственностью ""Консул Груп"""
352,"Общество с ограниченной ответственностью ""Рион"""
353,"Общество с ограниченной ответственностью ""Виктори"""
354,"Общество с ограниченной ответственностью ""Авиа Групп Техникс"""
355,"Общество с ограниченной ответственностью ""Эффективные Металлы"""
356,"Общество с ограниченной ответственностью ""Фьюжин Груп"""
357,"Общество с ограниченной ответственностью ""Логистик"""
358,"Гаражно-Строительный Кооператив ""Троицк-Авто-2"""
359,"Общество с ограниченной ответственностью Управляющая Компания ""Московский Регион"""
360,"Производственный Кооператив ""Комета"""
361,"Общество с ограниченной ответственностью ""Бриз"""
362,"Общество с ограниченной ответственностью ""Абсолютконсалт"""
363,"Общество с ограниченной ответственностью ""Билдер+"""
364,"Автономная Некоммерческая Организация Дополнительного Профессионального Образования Автошкола ""Курс"""
365,"Общество с ограниченной ответственностью ""Микровит"""
366,"Общество с ограниченной ответственностью ""Пластарт"""
367,"Потребительский Кооператив ""Глинково-1"""
368,"Общество с ограниченной ответственностью ""Респект"""
369,Государственное Учреждение Раменского Управления Областного Казначейства Министерства Финансов Московской Области
370,"Открытое Акционерное Общество ""Ново-Петровская Птицефабрика"""
371,"Общество с ограниченной ответственностью ""Торгком"""
372,"Общество с ограниченной ответственностью ""Арго"""
373,"Общество с ограниченной ответственностью ""Атлант Инвестмэнт"""
374,"Открытое Акционерное Общество ""Глобал-Транс-Стар"""
375,"Общество с ограниченной ответственностью ""Прайд"""
376,"Общество с ограниченной ответственностью ""Производственно-Строительная Компания ""Геокон"""
377,"Общество с ограниченной ответственностью ""Атлас-Сервис"""
378,"Общество с ограниченной ответственностью ""Бизнес Архитектура И Технологии"""
379,"Общество с ограниченной ответственностью ""Сервис Строй"""
380,"Общество с ограниченной ответственностью ""Центр Организации Досуга, Отдыха И Воспитания Детей На Воде ""Нахимовец"""
381,"Общество с ограниченной ответственностью ""Сад"""
382,"Общество с ограниченной ответственностью ""Демиург"""
383,Городское Финансовое Управление Г.Электросталь
384,"Товарищество с ограниченной ответственностью ""Дкв-Инфоимпэкс""Ао"
385,"Общество с ограниченной ответственностью ""Ренкон"""
386,"Общество с ограниченной ответственностью ""Альянс Трейд"""
387,"Общество с ограниченной ответственностью ""Элком"""
388,"Общество с ограниченной ответственностью ""Подмосковный Гриль"""
389,"Закрытое Акционерное Общество Племзавод ""Барыбино"""
390,"Общество с ограниченной ответственностью ""Юлия И В"""
391,"Закрытое Акционерное Общество ""Сбб"""
392,"Потребительский Гаражный Кооператив ""Москвич"""
